x , y
14.0626, -7.69713
14.0929, -7.67324
14.1231, -7.64928
14.1532, -7.62526
14.1831, -7.60117
14.2129, -7.57702
14.2426, -7.5528
14.2722, -7.52851
14.3016, -7.50416
14.3309, -7.47975
14.3601, -7.45527
14.3892, -7.43073
14.4182, -7.40613
14.447, -7.38146
14.4757, -7.35673
14.5043, -7.33194
14.5328, -7.30709
14.5611, -7.28218
14.5894, -7.2572
14.6175, -7.23217
14.6455, -7.20708
14.6733, -7.18192
14.7011, -7.15671
14.7287, -7.13144
14.7562, -7.10611
14.7836, -7.08072
14.8108, -7.05527
14.838, -7.02977
14.865, -7.00421
14.8919, -6.97859
14.9187, -6.95291
14.9453, -6.92718
14.9719, -6.9014
14.9983, -6.87555
15.0246, -6.84966
15.0507, -6.82371
15.0768, -6.7977
15.1027, -6.77164
15.1286, -6.74552
15.1543, -6.71936
15.1798, -6.69314
15.2053, -6.66686
15.2306, -6.64054
15.2558, -6.61416
15.2809, -6.58773
15.3059, -6.56125
15.3308, -6.53472
15.3555, -6.50813
15.3801, -6.4815
15.4046, -6.45481
15.429, -6.42808
15.4533, -6.4013
15.4774, -6.37447
15.5015, -6.34758
15.5254, -6.32065
15.5491, -6.29367
15.5728, -6.26665
15.5964, -6.23957
15.6198, -6.21245
15.6431, -6.18528
15.6663, -6.15807
15.6894, -6.13081
15.7123, -6.1035
15.7352, -6.07614
15.7579, -6.04875
15.7805, -6.0213
15.803, -5.99381
15.8254, -5.96628
15.8476, -5.9387
15.8698, -5.91107
15.8918, -5.88341
15.9137, -5.8557
15.9355, -5.82794
15.9571, -5.80015
15.9787, -5.77231
16.0001, -5.74443
16.0214, -5.7165
16.0426, -5.68854
16.0637, -5.66053
16.0847, -5.63248
16.1055, -5.60439
16.1262, -5.57626
16.1468, -5.54809
16.1673, -5.51988
16.1877, -5.49163
16.208, -5.46334
16.2281, -5.43501
16.2481, -5.40664
16.268, -5.37824
16.2878, -5.34979
16.3075, -5.32131
16.3271, -5.29279
16.3465, -5.26423
16.3659, -5.23563
16.3851, -5.207
16.4042, -5.17833
16.4231, -5.14962
16.442, -5.12087
16.4608, -5.0921
16.4794, -5.06328
16.4979, -5.03443
16.5163, -5.00554
16.5346, -4.97662
16.5528, -4.94766
16.5708, -4.91867
16.5888, -4.88965
16.6066, -4.86059
16.6243, -4.83149
16.6419, -4.80237
16.6594, -4.77321
16.6767, -4.74402
16.694, -4.71479
16.7111, -4.68553
16.7281, -4.65624
16.745, -4.62692
16.7618, -4.59756
16.7785, -4.56818
16.795, -4.53876
16.8115, -4.50931
16.8278, -4.47984
16.844, -4.45033
16.8601, -4.42079
16.8761, -4.39122
16.892, -4.36162
16.9077, -4.33199
16.9234, -4.30233
16.9389, -4.27264
16.9543, -4.24293
16.9696, -4.21318
16.9848, -4.18341
16.9999, -4.15361
17.0148, -4.12378
17.0296, -4.09392
17.0444, -4.06403
17.059, -4.03412
17.0735, -4.00418
17.0879, -3.97422
17.1021, -3.94423
17.1163, -3.91421
17.1303, -3.88416
17.1443, -3.85409
17.1581, -3.824
17.1718, -3.79388
17.1854, -3.76373
17.1988, -3.73356
17.2122, -3.70337
17.2254, -3.67315
17.2386, -3.6429
17.2516, -3.61263
17.2645, -3.58234
17.2773, -3.55203
17.29, -3.52169
17.3025, -3.49133
17.315, -3.46094
17.3273, -3.43053
17.3396, -3.4001
17.3517, -3.36965
17.3637, -3.33918
17.3756, -3.30868
17.3873, -3.27817
17.399, -3.24763
17.4105, -3.21707
17.422, -3.18649
17.4333, -3.15589
17.4445, -3.12526
17.4556, -3.09462
17.4666, -3.06396
17.4775, -3.03328
17.4882, -3.00258
17.4989, -2.97186
17.5094, -2.94112
17.5198, -2.91036
17.5301, -2.87958
17.5403, -2.84879
17.5504, -2.81797
17.5604, -2.78714
17.5702, -2.75629
17.58, -2.72543
17.5896, -2.69454
17.5991, -2.66364
17.6085, -2.63272
17.6178, -2.60178
17.627, -2.57083
17.6361, -2.53986
17.6451, -2.50888
17.6539, -2.47788
17.6626, -2.44686
17.6713, -2.41583
17.6798, -2.38478
17.6882, -2.35372
17.6965, -2.32264
17.7046, -2.29155
17.7127, -2.26044
17.7206, -2.22932
17.7285, -2.19818
17.7362, -2.16703
17.7438, -2.13587
17.7513, -2.1047
17.7587, -2.07351
17.766, -2.0423
17.7732, -2.01109
17.7802, -1.97986
17.7872, -1.94862
17.794, -1.91737
17.8007, -1.8861
17.8073, -1.85483
17.8138, -1.82354
17.8202, -1.79224
17.8265, -1.76093
17.8326, -1.72961
17.8387, -1.69827
17.8446, -1.66693
17.8505, -1.63558
17.8562, -1.60421
17.8618, -1.57284
17.8673, -1.54145
17.8726, -1.51006
17.8779, -1.47866
17.8831, -1.44724
17.8881, -1.41582
17.893, -1.38439
17.8979, -1.35296
17.9026, -1.32151
17.9072, -1.29005
17.9117, -1.25859
17.916, -1.22712
17.9203, -1.19564
17.9245, -1.16415
17.9285, -1.13266
17.9324, -1.10116
17.9363, -1.06965
17.94, -1.03814
17.9436, -1.00662
17.9471, -0.975092
17.9504, -0.943559
17.9537, -0.912021
17.9569, -0.880477
17.9599, -0.848927
17.9628, -0.817372
17.9656, -0.785812
17.9684, -0.754247
17.971, -0.722678
17.9734, -0.691104
17.9758, -0.659526
17.9781, -0.627944
17.9802, -0.596358
17.9823, -0.564768
17.9842, -0.533174
17.986, -0.501578
17.9877, -0.469978
17.9893, -0.438375
17.9908, -0.40677
17.9922, -0.375162
17.9934, -0.343552
17.9946, -0.31194
17.9956, -0.280326
17.9966, -0.24871
17.9974, -0.217092
17.9981, -0.185473
17.9987, -0.153853
17.9992, -0.122233
17.9995, -0.0906109
17.9998, -0.0589887
18, -0.0273661
18, 0.00425668
17.9999, 0.0358794
17.9997, 0.0675019
17.9995, 0.099124
17.9991, 0.130745
17.9985, 0.162366
17.9979, 0.193986
17.9972, 0.225604
17.9963, 0.257221
17.9954, 0.288837
17.9943, 0.320451
17.9931, 0.352062
17.9918, 0.383672
17.9904, 0.415279
17.9889, 0.446884
17.9873, 0.478486
17.9855, 0.510084
17.9837, 0.54168
17.9817, 0.573273
17.9797, 0.604861
17.9775, 0.636447
17.9752, 0.668028
17.9728, 0.699605
17.9703, 0.731177
17.9676, 0.762746
17.9649, 0.794309
17.962, 0.825868
17.9591, 0.857421
17.956, 0.888969
17.9528, 0.920512
17.9495, 0.952049
