x , y
-9.81913, 4.75429
-9.83746, 4.7374
-9.85572, 4.72048
-9.87389, 4.70351
-9.89198, 4.68651
-9.91, 4.66947
-9.92793, 4.65239
-9.94578, 4.63528
-9.96355, 4.61812
-9.98124, 4.60093
-9.99885, 4.5837
-10.0164, 4.56644
-10.0338, 4.54914
-10.0512, 4.5318
-10.0685, 4.51443
-10.0857, 4.49702
-10.1028, 4.47957
-10.1199, 4.46209
-10.1369, 4.44458
-10.1537, 4.42702
-10.1706, 4.40944
-10.1873, 4.39182
-10.2039, 4.37417
-10.2205, 4.35648
-10.237, 4.33876
-10.2534, 4.321
-10.2698, 4.30321
-10.286, 4.28539
-10.3022, 4.26753
-10.3183, 4.24964
-10.3343, 4.23172
-10.3502, 4.21377
-10.3661, 4.19578
-10.3819, 4.17777
-10.3976, 4.15972
-10.4132, 4.14164
-10.4287, 4.12352
-10.4442, 4.10538
-10.4596, 4.0872
-10.4749, 4.069
-10.4901, 4.05076
-10.5053, 4.0325
-10.5203, 4.0142
-10.5353, 3.99587
-10.5503, 3.97752
-10.5651, 3.95913
-10.5798, 3.94072
-10.5945, 3.92227
-10.6091, 3.9038
-10.6236, 3.8853
-10.6381, 3.86676
-10.6524, 3.84821
-10.6667, 3.82962
-10.6809, 3.811
-10.6951, 3.79236
-10.7091, 3.77369
-10.7231, 3.75499
-10.737, 3.73626
-10.7508, 3.71751
-10.7646, 3.69873
-10.7782, 3.67992
-10.7918, 3.66109
-10.8053, 3.64223
-10.8187, 3.62334
-10.8321, 3.60443
-10.8454, 3.58549
-10.8586, 3.56653
-10.8717, 3.54754
-10.8847, 3.52852
-10.8977, 3.50949
-10.9106, 3.49042
-10.9234, 3.47133
-10.9361, 3.45222
-10.9488, 3.43308
-10.9613, 3.41392
-10.9738, 3.39473
-10.9863, 3.37552
-10.9986, 3.35629
-11.0109, 3.33703
-11.0231, 3.31775
-11.0352, 3.29844
-11.0472, 3.27912
-11.0592, 3.25976
-11.0711, 3.24039
-11.0829, 3.221
-11.0946, 3.20158
-11.1062, 3.18214
-11.1178, 3.16268
-11.1293, 3.14319
-11.1407, 3.12369
-11.1521, 3.10416
-11.1633, 3.08461
-11.1745, 3.06504
-11.1857, 3.04545
-11.1967, 3.02584
-11.2077, 3.00621
-11.2185, 2.98656
-11.2293, 2.96688
-11.2401, 2.94719
-11.2507, 2.92748
-11.2613, 2.90774
-11.2718, 2.88799
-11.2822, 2.86822
-11.2926, 2.84843
-11.3029, 2.82862
-11.3131, 2.80879
-11.3232, 2.78894
-11.3332, 2.76907
-11.3432, 2.74918
-11.3531, 2.72928
-11.3629, 2.70936
-11.3727, 2.68942
-11.3823, 2.66946
-11.3919, 2.64948
-11.4014, 2.62948
-11.4109, 2.60947
-11.4202, 2.58944
-11.4295, 2.5694
-11.4387, 2.54933
-11.4479, 2.52925
-11.4569, 2.50915
-11.4659, 2.48904
-11.4748, 2.46891
